file,status,included_in_snapshot,reason
src/routes/p.$slug.tsx.bak-hostfallback-20260819,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.$slug.tsx.bak-loaderpar-20260817,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.about-our-company.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.all-locations.tsx.bak-ctr-20260820,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.all-locations.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.all-locations.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.author.derek-bowen.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.author.derek-bowen.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.blog.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.blog.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.corpus-christi-pool-rental-laws.tsx,??,yes,source/config: live production source or config
src/routes/p.earnings-calculator.tsx.bak-fee15b-20260801-081649,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.earnings-calculator.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.earnings-calculator.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.free-host-tools.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-fee15b-20260801-081649,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm-20260801-073814,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm3-20260801-074203,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me.tsx.bak-fee15b-20260801-081649,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.giggster-vs-pool-rental-near-me.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.hosting.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.hosting.tsx.bak-fee15b-20260801-081649,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.hosting.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.hosting.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.hosting.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.how-it-works.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.how-it-works.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.jan.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.la-saltwater-featured.tsx.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.la-saltwater-featured.tsx.bak-feeperm3-20260801-074203,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.lukes-lounge.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm-20260801-073741,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.peerspace-vs-pool-rental-near-me.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-party-rentals.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-party-rentals.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-pros.$slug.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-app.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-app.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-host-fees-compared.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-host-fees-compared.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-host-fees-compared.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-host-fees-compared.tsx.bak-feeperm4-20260801-074912,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-host-fees-compared.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rental-host-fees-compared.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rentals-{$state}.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.pool-rentals-{$state}.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.private-pool-rental.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.private-pool-rental.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.start-hosting.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.start-hosting.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.swimply-alternative-vs-pool-rental-near-me.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.swimply-alternative-vs-pool-rental-near-me.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.swimply-alternative-vs-pool-rental-near-me.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.swimply-alternative-vs-pool-rental-near-me.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/routes/p.swimply-alternative-vs-pool-rental-near-me.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/routes/phoenix.tsx,??,yes,source/config: live production source or config
src/routes/phoenix.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/riverside.tsx,??,yes,source/config: live production source or config
src/routes/riverside.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/robots[.]txt.ts.bak-cctld,??,no,"backup/temp: in-place editing backup, not source"
src/routes/sitemap-country[.]xml.ts,??,yes,source/config: live production source or config
src/routes/sitemap-pages-articles[.]xml.ts.bak-country,??,no,"backup/temp: in-place editing backup, not source"
src/routes/sitemap-pages-courses[.]xml.ts.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/sitemap-static[.]xml.ts.bak-ccguide,??,no,"backup/temp: in-place editing backup, not source"
src/routes/sitemap-static[.]xml.ts.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/routes/sitemap[.]xml.ts.bak-country,??,no,"backup/temp: in-place editing backup, not source"
src/routes/sitemap[.]xml.ts.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/server/admin-quick-page.functions.ts.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/server/admin-tools.functions.ts.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/server/auto-outreach.server.ts.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/server/backfill-content-pages.server.ts.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/server/sms.server.ts.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/server/state-hub.functions.ts.bak-ispub-20260819,??,no,"backup/temp: in-place editing backup, not source"
