url,city,feature,current_status,gsc_clicks_3mo,gsc_impressions_3mo,ai_feature_impr_3mo,googlebot_req_14d,all_req_14d,matching_pools,matching_indexable,hub_indexable,internal_referer_hits_14d,external_referer_hits_14d,classification,proposed_destination
/public-pools/new-york/staten-island/feature/water-slides/,"Staten Island, NY",water-slides,301 -> /public-pools/new-york/staten-island/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/new-york/staten-island/
/public-pools/new-york/staten-island/feature/wave-pool/,"Staten Island, NY",wave-pool,301 -> /public-pools/new-york/staten-island/,0,0,0,0,1,0,0,True,0,0,RETIRE,/public-pools/new-york/staten-island/
/public-pools/north-carolina/apex/feature/diving-board/,"Apex, NC",diving-board,301 -> /public-pools/north-carolina/apex/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/apex/
/public-pools/north-carolina/apex/feature/heated/,"Apex, NC",heated,301 -> /public-pools/north-carolina/apex/,2,27,0,0,2,2,2,True,1,0,CONSOLIDATE,/public-pools/north-carolina/apex/
/public-pools/north-carolina/apex/feature/indoor/,"Apex, NC",indoor,301 -> /public-pools/north-carolina/apex/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/north-carolina/apex/
/public-pools/north-carolina/apex/feature/kiddie-pool/,"Apex, NC",kiddie-pool,301 -> /public-pools/north-carolina/apex/,0,0,0,0,3,1,1,True,3,0,CONSOLIDATE,/public-pools/north-carolina/apex/
/public-pools/north-carolina/apex/feature/wave-pool/,"Apex, NC",wave-pool,301 -> /public-pools/north-carolina/apex/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/north-carolina/apex/
/public-pools/north-carolina/cary/feature/lap-swimming/,"Cary, NC",lap-swimming,301 -> /public-pools/north-carolina/cary/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/north-carolina/cary/
/public-pools/north-carolina/cary/feature/wave-pool/,"Cary, NC",wave-pool,301 -> /public-pools/north-carolina/cary/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/cary/
/public-pools/north-carolina/chapel-hill/feature/heated/,"Chapel Hill, NC",heated,301 -> /public-pools/north-carolina/chapel-hill/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/chapel-hill/
/public-pools/north-carolina/chapel-hill/feature/indoor/,"Chapel Hill, NC",indoor,301 -> /public-pools/north-carolina/chapel-hill/,0,0,0,0,2,1,1,True,2,0,CONSOLIDATE,/public-pools/north-carolina/chapel-hill/
/public-pools/north-carolina/chapel-hill/feature/kiddie-pool/,"Chapel Hill, NC",kiddie-pool,301 -> /public-pools/north-carolina/chapel-hill/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/north-carolina/chapel-hill/
/public-pools/north-carolina/chapel-hill/feature/lap-swimming/,"Chapel Hill, NC",lap-swimming,301 -> /public-pools/north-carolina/chapel-hill/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/chapel-hill/
/public-pools/north-carolina/concord/feature/indoor/,"Concord, NC",indoor,301 -> /public-pools/north-carolina/concord/,0,0,4,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/concord/
/public-pools/north-carolina/concord/feature/splash-pad/,"Concord, NC",splash-pad,301 -> /public-pools/north-carolina/concord/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/concord/
/public-pools/north-carolina/concord/feature/wave-pool/,"Concord, NC",wave-pool,301 -> /public-pools/north-carolina/concord/,0,0,0,0,1,1,1,True,0,0,RETIRE,/public-pools/north-carolina/concord/
/public-pools/north-carolina/durham/feature/heated/,"Durham, NC",heated,301 -> /public-pools/north-carolina/durham/,2,34,5,0,1,0,0,True,0,0,CONSOLIDATE,/public-pools/north-carolina/durham/
/public-pools/north-carolina/durham/feature/indoor/,"Durham, NC",indoor,301 -> /public-pools/north-carolina/durham/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/durham/
/public-pools/north-carolina/durham/feature/kiddie-pool/,"Durham, NC",kiddie-pool,301 -> /public-pools/north-carolina/durham/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/north-carolina/durham/
/public-pools/north-carolina/durham/feature/lap-swimming/,"Durham, NC",lap-swimming,301 -> /public-pools/north-carolina/durham/,0,0,0,0,2,1,1,True,2,0,CONSOLIDATE,/public-pools/north-carolina/durham/
/public-pools/north-carolina/fayetteville/feature/diving-board/,"Fayetteville, NC",diving-board,301 -> /public-pools/north-carolina/fayetteville/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/north-carolina/fayetteville/
/public-pools/north-carolina/fayetteville/feature/kiddie-pool/,"Fayetteville, NC",kiddie-pool,301 -> /public-pools/north-carolina/fayetteville/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/fayetteville/
/public-pools/north-carolina/fayetteville/feature/lap-swimming/,"Fayetteville, NC",lap-swimming,301 -> /public-pools/north-carolina/fayetteville/,0,0,0,0,2,2,2,True,2,0,CONSOLIDATE,/public-pools/north-carolina/fayetteville/
/public-pools/north-carolina/fayetteville/feature/olympic-size/,"Fayetteville, NC",olympic-size,301 -> /public-pools/north-carolina/fayetteville/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/fayetteville/
/public-pools/north-carolina/mooresville/feature/indoor/,"Mooresville, NC",indoor,301 -> /public-pools/north-carolina/mooresville/,0,0,0,0,3,1,1,True,3,0,CONSOLIDATE,/public-pools/north-carolina/mooresville/
/public-pools/north-carolina/mooresville/feature/kiddie-pool/,"Mooresville, NC",kiddie-pool,301 -> /public-pools/north-carolina/mooresville/,0,0,5,1,2,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/mooresville/
/public-pools/north-carolina/mooresville/feature/lap-swimming/,"Mooresville, NC",lap-swimming,301 -> /public-pools/north-carolina/mooresville/,2,63,9,0,1,3,3,True,0,0,REBUILD,/public-pools/north-carolina/mooresville/feature/lap-swimming/
/public-pools/north-carolina/raleigh/feature/indoor/,"Raleigh, NC",indoor,301 -> /public-pools/north-carolina/raleigh/,2,192,0,0,2,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/raleigh/
/public-pools/north-carolina/raleigh/feature/lap-swimming/,"Raleigh, NC",lap-swimming,301 -> /public-pools/north-carolina/raleigh/,0,0,8,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/raleigh/
/public-pools/north-carolina/wake-forest/feature/indoor/,"Wake Forest, NC",indoor,301 -> /public-pools/north-carolina/wake-forest/,0,0,0,0,2,0,0,True,2,0,CONSOLIDATE,/public-pools/north-carolina/wake-forest/
/public-pools/north-carolina/wake-forest/feature/kiddie-pool/,"Wake Forest, NC",kiddie-pool,301 -> /public-pools/north-carolina/wake-forest/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/wake-forest/
/public-pools/north-carolina/wake-forest/feature/olympic-size/,"Wake Forest, NC",olympic-size,301 -> /public-pools/north-carolina/wake-forest/,0,0,0,0,2,1,1,True,2,0,CONSOLIDATE,/public-pools/north-carolina/wake-forest/
/public-pools/north-carolina/wilmington/feature/heated/,"Wilmington, NC",heated,301 -> /public-pools/north-carolina/wilmington/,2,73,0,0,1,1,1,True,0,0,CONSOLIDATE,/public-pools/north-carolina/wilmington/
/public-pools/north-carolina/wilmington/feature/indoor/,"Wilmington, NC",indoor,301 -> /public-pools/north-carolina/wilmington/,0,0,0,0,2,2,2,True,2,0,CONSOLIDATE,/public-pools/north-carolina/wilmington/
/public-pools/north-carolina/wilmington/feature/kiddie-pool/,"Wilmington, NC",kiddie-pool,301 -> /public-pools/north-carolina/wilmington/,0,0,4,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/north-carolina/wilmington/
