url,hits_404log,first_seen,last_seen,gsc_clicks,gsc_impr,current_status,current_target,wrong_audience_now,intent,proposed_rule,proposed_destination,dest_h1
/p/guide-to-graduation-party-pool-rental-jeffersonville-in,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-graduation-party-pool-rental-jeffersonville-in,
/p/guide-to-graduation-party-pool-rental-palm-bay-fl,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-graduation-party-pool-rental-palm-bay-fl,
/p/guide-to-graduation-party-pool-rental-sumter-sc,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-graduation-party-pool-rental-sumter-sc,
/p/guide-to-kids-birthday-party-pool-rental-buckeye-az,1,2026-09-16,2026-09-16,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-kids-birthday-party-pool-rental-buckeye-az,
/p/guide-to-kids-birthday-party-pool-rental-hinesville-ga,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-kids-birthday-party-pool-rental-hinesville-ga,
/p/guide-to-kids-birthday-party-pool-rental-lenexa-ks,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-kids-birthday-party-pool-rental-lenexa-ks,
/p/guide-to-kids-birthday-party-pool-rental-mansfield-tx,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-kids-birthday-party-pool-rental-mansfield-tx,
/p/guide-to-kids-birthday-party-pool-rental-oshkosh-wi,1,2026-07-15,2026-07-15,0,0,200,,False,event-guest,KEEP (live page),/p/guide-to-kids-birthday-party-pool-rental-oshkosh-wi,
/p/guide-to-kids-birthday-party-pool-rental-palm-bay-fl,1,2026-07-15,2026-07-15,2,21,200,,False,event-guest,KEEP (live page),/p/guide-to-kids-birthday-party-pool-rental-palm-bay-fl,
/p/harrisburg-pa,1,2026-07-29,2026-07-29,0,0,301,/p/become-a-swimming-pool-host-harrisburg-pa,True,guest-city,2 public-pools city hub,/public-pools/pennsylvania/harrisburg/,
/p/jessup-md,1,2026-09-17,2026-09-17,0,0,404,,False,guest-city,3 search,/s?address=Jessup%2C+MD,
/p/kansas-city-ks,1,2026-07-16,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-kansas-city-ks,True,guest-city,3 search,/s?address=Kansas+City%2C+KS,
/p/kansas-city-mo,1,2026-07-16,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-kansas-city-mo,True,guest-city,2 public-pools city hub,/public-pools/missouri/kansas-city/,
/p/keller-tx,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/keller-tx,
/p/kenmore-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Kenmore%2C+WA,
/p/kent-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Kent%2C+WA,
/p/kids-birthday-pool-party-salina-ks,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/kids-birthday-pool-party-salina-ks,
/p/kids-birthday-pool-party-victorville-ca,1,2026-07-15,2026-07-15,0,0,200,,False,guest-city,KEEP (live page),/p/kids-birthday-pool-party-victorville-ca,
/p/kirkland-wa,1,2026-09-22,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Kirkland%2C+WA,
/p/lansdowne-md,1,2026-09-21,2026-09-21,0,0,404,,False,guest-city,3 search,/s?address=Lansdowne%2C+MD,
/p/laredo-tx,1,2026-07-29,2026-07-29,0,0,301,/p/become-a-swimming-pool-host-laredo-tx,True,guest-city,2 public-pools city hub,/public-pools/texas/laredo/,
/p/los-alamitos-ca,1,2026-07-07,2026-07-07,0,0,301,/p/become-a-swimming-pool-host-los-alamitos-ca,True,guest-city,3 search,/s?address=Los+Alamitos%2C+CA,
/p/louisville-oh,1,2026-07-11,2026-07-11,0,0,301,/p/become-a-swimming-pool-host-louisville-oh,True,guest-city,3 search,/s?address=Louisville%2C+OH,
